Issuer Name;Ticker;Cpn;Maturity;Series;BBG Composite;Mty Type;Currency;Yld to Mty (Bid);Ask Convexity;Bid Convexity;Next Cpn Dt;Mty (Years Frm Tdy);1st Cpn Pd Typ;Coupon Type
Colombia Government International Bond;COLOM;4.5;28/01/2026;#N/A Field Not Applicable;BB+;CALLABLE;USD;6.623740539;0.076931313;0.076707385;28/07/2023;2.754277892;Short First;FIXED
Banco de Bogota SA;BANBOG;14.5637;10/02/2026;A5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;10/05/2023;2.789869952;Normal;FLOATING
Banco Davivienda SA;DAVIVI;4.69;18/02/2026;F60;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;18/05/2023;2.811772758;Normal;FIXED
Banco Comercial AV Villas SA;AVVILL;14.7902;23/02/2026;A5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;23/05/2023;2.825462012;Normal;FLOATING
Colombia Government International Bond;COLOM;3.875;22/03/2026;EMTN;BB+;CALLABLE;EUR;5.769899476;0.095609164;0.095008898;22/03/2024;2.899383984;Normal;FIXED
Interconexion Electrica SA ESP;ISACB;20.508377;7/04/2026;TR4;#N/A N/A;CALLABLE;COP;#N/A N/A;#N/A N/A;#N/A N/A;5/06/2023;2.943189596;Normal;FLOATING
Interconexion Electrica SA ESP;ISACB;18.530972;7/04/2026;IV;#N/A N/A;CALLABLE;COP;#N/A N/A;#N/A N/A;#N/A N/A;7/10/2023;2.943189596;Normal;FLOATING
Cementos Argos SA;CEMCAR;18.088946;13/04/2026;C10;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;13/07/2023;2.959616701;Normal;FLOATING
Empresa de Energia del Pacifico SA ESP;EPSACB;17.012216;24/04/2026;C;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;24/07/2023;2.98973306;Normal;FLOATING
Grupo de Inversiones Suramericana SA;GRUPOS;5.5;29/04/2026;REGS;BB+;CALLABLE;USD;7.09806462;0.088929338;0.088851337;29/10/2023;3.003422313;Normal;FIXED
Grupo de Inversiones Suramericana SA;GRUPOS;5.5;29/04/2026;144A;BB+;CALLABLE;USD;7.085296571;0.08889838;0.088863962;29/10/2023;3.003422313;Normal;FIXED
Banco Caja Social SA;BANCOC;18.459264;4/05/2026;C-10;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;4/05/2023;3.017111567;Normal;FLOATING
Banco de Bogota SA;BANBOG;6.25;12/05/2026;REGS;BB-;AT MATURITY;USD;7.395767386;0.087053826;0.086832742;12/05/2023;3.039014374;Normal;FIXED
Banco de Bogota SA;BANBOG;6.25;12/05/2026;144A;BB-;AT MATURITY;USD;7.412572796;0.086936592;0.086815079;12/05/2023;3.039014374;Normal;FIXED
Isagen SA ESP;ISAGEN;6.49;19/05/2026;A5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;19/05/2023;3.058179329;Normal;FIXED
